Donor,Deflatorvalue
Mingalar Myanmar,1.0154
Ministry for Transportation and Infrastructure,1.0154
Ministry of Agriculture and Irrigation,1.0154
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",1.0154
Ministry of Defense of Germany,1.0154
Ministry of Environment and University of Zurich,1.0154
Ministry of Foreign Affairs,1.0154
Ministry of Rural Rehabilitation and Development Afghanistan,1.0154
Minneapolis Foundation,1.0154
Minority Rights Group InterNational,1.0154
MINUSTAH,1.0154
MIR - MUXO Impact Relief,1.0154
MIRC Corporate,1.0154
Misereor,1.0154
Misericordia InterNational Center Day Care,1.0154
Mision para Cristo,1.0154
MISOLA,1.0154
"Mission 21, Basle",1.0154
Mission am Nill,1.0154
Mission Armenia,1.0154
Mission Austria - Päpstliche Missionswerke in österreich,1.0154
Mission Aviation Fellowship,1.0154
Mission East,1.0154
Mission Enfance,1.0154
Mission Ost - DNK,1.0154
Missionnaires du Divin Maître,1.0154
Missionnaires du Divin Maître/Shabunda,1.0154
Missionsärztliches Institut Würzburg,1.0154
Missionszentrale der Franziskaner e.V.,1.0154
Mitsubishi Electric,1.0154
"Mitsui USA, Inc.",1.0154
MoAAH/FAO,1.0154
Mobilink Foundation,1.0154
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,1.0154
Moldova,1.0069
Molson Coors Brewing Company,1.0154
"Molycorp, Inc.",1.0154
Monaco,1.0154
Monaco Aide et Presence,1.0154
Monaco Red Cross,1.0154
MoneyGram InterNational,1.0154
Mongolia,0.9523
Mongolia Red Cross,1.0154
Mongolian Red Cross,1.0154
Monitoring Evaluation And Training Agency,1.0154
Monsanto Co.,1.0154
Montenegro,1.012
Monterey Institute of InterNational Studies,1.0154
MONUC,1.0154
Moody's,1.0154
Moravian Church,1.0154
Morgan Stanley,1.0154
Morija,1.0154
Moroccan Red Crescent,1.0154
Morocco,1.024
Morocco Red Crescent,1.0154
Mosaic Company,1.0154
Mother and Children Development Aid,1.0154
Mothers of Chechnya,1.0154
Motorola Foundation,1.0154
Movement Centre of Jeju Citizen to Cooperation between South and North,1.0154
"Movimiento por la Paz, el Desarme y la Libertad",1.0154
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",1.0154
MOVIMONDO,1.0154
Movitel,1.0154
Mozambique,0.7784
Mozambique Red Cross,1.0154
Mozambique Red Cross Society,1.0154
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",1.0154
MPDL - PRTM,1.0154
MRCA - Medical Refresher Course for Afghan,1.0154
MRCA / AMI,1.0154
MRRD/UNICEF,1.0154
MRRD/UNOPS,1.0154
MS Denmark,1.0154
MSD-DK,1.0154
MSI,1.0154
MSZ,1.0154
Mubadiroon Organisation,1.0154
Mubarak for Relief and Development Organization,1.0154
Muhammadiyah,1.0154
Mulrany InterNational,1.0154
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,1.0154
Multi-Donor Trust Fund ,1.0154
Multi-Donor Trust Fund for the Sudan,1.0154
Multi-Donor Trust Fund for the Sudan ,1.0154
Multi-Donor Trust Fund for the Sudan South,1.0154
Multilateral Agencies,1.0154
MultiNational Interim Force,1.0154
Multiple Partners,1.0154
Museke Foundation,1.0154
Muslim Aid,1.0154
Muslim Aid and GlobalMedic,1.0154
Mvuramanzi Trust,1.0154
Mwelekeo Trust,1.0154
Myanmar,1.0048
Myanmar Business Coalition on AIDS,1.0154
Myanmar NGO Contingency Plan Steering Committee,1.0154
Myanmar Red Cross,1.0154
Myanmar Red Cross Society,1.0154
"NABA""A",1.0154
NAC,1.0154
Nachbar in Not,1.0154
NACSA - National Commission for Social Action - Sierra Leone  ,1.0154
NaCSA/World Bank,1.0154
Nærings- og Handelsdepartementet,1.0154
Næringslivets Hovedorganisasjon,1.0154
Nahda Makers Organization,1.0154
Nahdlatul Ulamu,1.0154
Najat Charitable Society,1.0154
Namibia,0.8497
Namibia CARES Movement,1.0154
Namibia Red Cross,1.0154
Namibian Red Cross,1.0154
Nasjonalt Folkehelseinstitutt,1.0154
Nathan Associates,1.0154
Nathan Cummings Foundation,1.0154
National Agency for the Prohibition of Traffic in Persons - Nigeria,1.0154
National Agricultural Cooperative Federation,1.0154
National Anti War Front,1.0154
National Bank of Canada,1.0154
National Basketball Association,1.0154
National Center for the Prevention of HIV/AIDS,1.0154
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,1.0154
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",1.0154
National Commission for Human Development,1.0154
National Commission for Lebanese Women,1.0154
National Committee for Demining and Rehabilitation,1.0154
National Committee for Disaster Management,1.0154
National Council of Churches in Australia,1.0154
National Council of Churches of Kenya,1.0154
National Council of Saemaul Undong Movement,1.0154
National Democratic Institute,1.0154
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,1.0154
National Development Organization,1.0154
National Disaster Response Coordinating Council,1.0154
National Emergency Commission of Costa Rica,1.0154
"National Fishery Society, Peru",1.0154
National Football League,1.0154
National Foundation for Development and Human Rights,1.0154
National Grid,1.0154
National Institution of Social Care & Vocational Training,1.0154
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),1.0154
National Integrated Development Agency,1.0154
National Office for Electoral Process,1.0154
National Peace Corps Association,1.0154
National Primary Health Care Development Agency,1.0154
National Radio Appeal,1.0154
National Relief Committee,1.0154
National Rural Support Programme,1.0154
National Society for Earthquake Technology,1.0154
National Society for Rehabilitation,1.0154
National Space Agency of Ukraine,1.0154
Nationwide Insurance Foundation,1.0154
NATO / PfP,1.0154
Natur Environments & Wildlife Society and Calcutta Foundation,1.0154
Natures Way,1.0154
Naval Medical Research Unit,1.0154
Nawayee Rehabilitation and Development Organization for Afghan Women,1.0154
Near East Foundation,1.0154
NEC Corporation,1.0154
Nehemia Christenhilfsdienst e.V.,1.0154
Neighborhood Disaster Volunteers,1.0154
Neighbors Initiative Alliance,1.0154
NEM Insurance Company,1.0154
NEMA - National Emergency Management Agency,1.0154
Nepal,0.987
Nepal Red Cross Society,1.0154
NEPCom,1.0154
Nestle,1.0154
Nestle USA,1.0154
Netherlands,1.0086
Netherlands Embassy in Namibia,1.0154
Netherlands Red Cross,1.0154
Netherlands Refugee Foundation,1.0154
"NetSol Technologies, Inc",1.0154
Network on Humanitarian Assistance,1.0154
NETZ,1.0154
New Consultancy and Relief Organization,1.0154
New Iraqi Woman Organization,1.0154
New Ireland PDC,1.0154
New South Wales Relief Fund,1.0154
New York Life Insurance Company,1.0154
New York Yankees,1.0154
New Zealand,1.0132
New Zealand Red Cross,1.0154
Newman Foundation,1.0154
News Corp.,1.0154
Next Step AS,1.0154
Next Step Productions,1.0154
Nextel Peru,1.0154
Ngazi Moja Foundation,1.0154
NGO Consortium,1.0154
NGO Coordination Committee in Iraq,1.0154
NGO FORUM,1.0154
NGO Fridsro,1.0154
NGO Mondo,1.0154
NGO Ninez y Vida,1.0154
NGO Safety Program,1.0154
NGO Security Programme,1.0154
NGOs (details not yet provided),1.0154
NGOs; Red Cross (details not yet provided) ,1.0154
NGOs; Red Cross/Red Crescent (details not yet provided),1.0154
Nicaragua,1.0112
Nicaragua Red Cross,1.0154
Nicaraguan Forestry Institute,1.0154
Nicaraguan Red Cross,1.0154
Niger,1.0021
Niger Red Cross,1.0154
Nigeria,0.8555
Nigeria Red Cross,1.0154
Nigerian Red Cross Society,1.0154
NIISO,1.0154
Nike,1.0154
Nikon,1.0154
Nile Hope,1.0154
Nile Hope Development Forum,1.0154
Nile Mission,1.0154
Nile People's Peace Conference,1.0154
Niños de la Tierra,1.0154
Ninôs del Cusco,1.0154
Nintendo,1.0154
Nippon Foundation,1.0154
Nippon InterNational Cooperation for Community Development,1.0154
NIRAS,1.0154
NiSource Charitable Foundation,1.0154
Nissan Corporation,1.0154
NMIAD,1.0154
No channel specified,1.0154
Nobels Fredssenter,1.0154
Nokia,1.0154
Nomadic Assistance for Peace and Development,1.0154
Nomads Development and Environmental Conservation,1.0154
NOMECO,1.0154
Nomura Group,1.0154
Non Violent Peace Force ,1.0154
Non Violent Peace Force Sri Lanka ,1.0154
Non-Aligned Movement Institute for the Empowerment of Women,1.0154
Nonviolence InterNational,1.0154
Nonviolent Peaceforce,1.0154
Noor Al Hussein Foundation,1.0154
NOOR Dubai,1.0154
Nordic Demining Research Forum,1.0154
Nordic Institute of Asian Studies,1.0154
Nordic InterNational Rescue Foundation,1.0154
Norfund,1.0154
Norges Fredslag,1.0154
Norges Geotekniske Institutt,1.0154
Norges Juristforbund,1.0154
Normeca AS,1.0154
Norsk forbund f. utv.hemmede,1.0154
Norsk Fredssenter,1.0154
Norsk Luthersk Misjonssamband,1.0154
Norsk PEN,1.0154
Norsk Ressursbank for demokrati og menneskerettigheter,1.0154
Norsk senter for menneskerettigheter,1.0154
Norsk tamilsk helse organisasjon,1.0154
Norsk Vietnamesisk Senter,1.0154
Norske Menneskerettighetsfond,1.0154
Norske PEN,1.0154
Norske Pinsemenigheters Ytremisjon,1.0154
Norske Redningshunder,1.0154
North Atlantic Treaty Organization,1.0154
Northeast Asia Forest Forum,1.0154
Northern Aid,1.0154
Northern Trust Corporation,1.0154
Northfield Bank Foundation,1.0154
Northland Foundation,1.0154
Northrop Grumman Corp,1.0154
North-South Institute,1.0154
Northwest Medical Teams InterNational,1.0154
Northwest Woolen Mills,1.0154
Northwestern Mutual Corp.,1.0154
NORWAC - Norwegian Aid Committee,1.0154
Norway,0.9611
Norway Red Cross,1.0154
Norway Royal Ministry of Foreign Affairs,1.0154
Norwegian Afghanistan Committee,1.0154
Norwegian Aid Committee,1.0154
Norwegian Church Aid,1.0154
Norwegian Mission Association,1.0154
Norwegian Pentecostal Movement,1.0154
Norwegian People's Aid,1.0154
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,1.0154
Norwegian Red Cross,1.0154
Norwegian Refugee Council,1.0154
Norwegian Search and Rescue,1.0154
Norwegian Tamils Health Organisation,1.0154
Not on our Watch,1.0154
Novartis,1.0154
Novellus Systems,1.0154
NOVIB,1.0154
Novo Nordisk,1.0154
NTNU,1.0154
NU,1.0154
"Nuba Mountain Relief, Rehabilitation and Development Organization",1.0154
Nuba Mountains International Association for Development,1.0154
Nuer Peace Council,1.0154
Nukepills,1.0154
NUPI - Norsk utenr.pol. inst. ,1.0154
Nurani Dunia,1.0154
NYSE Euronext,1.0154
OAP,1.0154
Objectif Tiers Monde,1.0154
Observatorio San Calixo,1.0154
OCAPROCE,1.0154
Occidental Petroleum,1.0154
OCHA / IRIN,1.0154
OCHA / ISDR,1.0154
OCHA / REACT,1.0154
OCHA NGO Funds,1.0154
OCHA/UNDP,1.0154
OCHA/UNDP/ ISDR,1.0154
OCHA/UNEP,1.0154
Ockenden InterNational,1.0154
Oeuvre d'Orient,1.0154
Oeuvres hospitalières françaises de l'Ordre de Malte,1.0154
Office Depot,1.0154
Office for Drug Control and Crime Prevention,1.0154
Office for Intellectual Freedom ,1.0154
Office for the Coordination of Humanitarian Affairs,1.0154
Office of Preparedness for Disasters and Emergencies,1.0154
Office of the High Commissioner for Human Rights,1.0154
Office of the Humanitarian Coordinator,1.0154
Office of the Representative of Denmark to Afghanistan,1.0154
Office of the Representative of the Dalai Lama,1.0154
Office of the Resident and Humanitarian Coordinator,1.0154
Office of the United Nations Special Coordinator for the Middle East Peace Process,1.0154
Official Development Assistance,1.0154
Oficina Panamericana de la Salud ,1.0154
Òganizasyon Fanm tou Nèf Balan,1.0154
OIC Aid Committee for the Child Victims of Tsunami,1.0154
OIKOS - Intercooperação e Desenvolvimento ,1.0154
Oil for Food Programme,1.0154
OIP - Office of the Iraq Programme,1.0154
OJAZ Foundation,1.0154
Okedongmu Children in Korea,1.0154
Oklahoma City Community Foundation,1.0154
öKO HIMAL,1.0154
Olympic Aid,1.0154
Oman,0.9143
Oman Charitable Organisation,1.0154
Omega Plus,1.0154
Omidyar Fund,1.0154
One Buddhism,1.0154
One Korea Buddhist Movement,1.0154
One Shekel Campaign in WB,1.0154
"One UN Fund, EFW",1.0154
OneBeacon Charitable Trust,1.0154
ONG Actions,1.0154
ONGD - FNEL,1.0154
"Onnuri Church, Rep. of Korea",1.0154
ONUA - HRD,1.0154
öö Volkshilfe,1.0154
OPEC Fund for InterNational Development,1.0154
Open Continent,1.0154
Open Doors,1.0154
Open Society Foundation,1.0154
Open Society Institute,1.0154
Open Society Institute Assistance Foundation,1.0154
Operation Blessing InterNational,1.0154
Operation Helping Hand of Tampa,1.0154
"Operation Helping Hands, American Samoa",1.0154
Operation Lifeline Sudan,1.0154
Operation Mercy,1.0154
Operation Save Innocent Lives,1.0154
Operation USA,1.0154
Opération villages roumains,1.0154
Operations Team,1.0154
Opportunities Industrialisation Centres InterNational,1.0154
ORA e. V. Deutsher Hilfsfonds,1.0154
ORA InterNational Lobito,1.0154
Order of Malta,1.0154
Oregon Community Foundation,1.0154
Organisation de la conférence islamique ,1.0154
Organisation for Economic Co-operation and Development,1.0154
Organisation for Mine Awareness and Reconstruction,1.0154
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,1.0154
Organisation InterNationale de la Francophonie,1.0154
Organisation Marocaine Des Droits de l'homme,1.0154
Organisation of Islamic Cooperation,1.0154
Organisation of Rural Associations for Progress,1.0154
Organisation of the Islamic Conference,1.0154
Organization Catholique Pour la Promotion Humaine,1.0154
Organization for African Unity,1.0154
Organization for Security & Cooperation in Europe,1.0154
Organization for Social Development Initiatives,1.0154
Organization of American States,1.0154
Organization of Arab Red Crescent and Red Cross Society,1.0154
Organization of Petroleum Exporting Countries Fund,1.0154
Orphans and Divorced Rights Association,1.0154
Orthodox Church in America,1.0154
OshKosh Corp.,1.0154
Oslo Coalition on Freedom of Religion or Belief,1.0154
Oslosenteret for fred og menneskerettigheter,1.0154
österreichisches Nord-Süd-Institut,1.0154
Other income,1.0154
Ottawa Convention Sponsorship Programme,1.0154
Ottawa Convention Sponsorship Programme ,1.0154
Overseas Development Institute,1.0154
OXFAM,1.0154
Oxfam America,1.0154
OXFAM Australia,1.0154
OXFAM Belgium,1.0154
OXFAM Canada,1.0154
OXFAM GB,1.0154
OXFAM Hong Kong,1.0154
Oxfam India,1.0154
OXFAM InterNational,1.0154
OXFAM Ireland,1.0154
Oxfam Italia,1.0154
OXFAM Netherlands (NOVIB),1.0154
OXFAM Quebec,1.0154
OXFAM Solidarite,1.0154
OXFAM/Community Aid Abroad (OXFAM-Australia),1.0154
Oxford Research Group,1.0154
Oxford University,1.0154
PA_05,1.0154
PACCAR Inc.,1.0154
Pacific Islands Forum,1.0154
Packard Foundation,1.0154
Pact Inc.,1.0154
PACT Myanmar,1.0154
PACTEC,1.0154
"PADCO, WWCIS, ASI",1.0154
PAICMA,1.0154
PAIMAN Alumni Trust,1.0154
Pain Pour Les Déshérités (PPLD),1.0154
Pak Rural Development Program,1.0154
Pakistan,0
Pakistan Association  in Dubai,1.0154
Pakistan Humanitarian Forum (consortium),1.0154
Pakistan Red Crescent,1.0154
Pakistan Red Crescent Society,1.0154
Pakistan Telecommunication Company LTD.,1.0154
Pakistan Village Development Program,1.0154
Pakistansk Velferdsorganisasjon Norge,1.0154
Palau,0
Palau Red Cross,1.0154
Palau Red Cross Society,1.0154
Palestinakomiteen i Norge,1.0154
Palestine Red Crescent Society,1.0154
Palestine Right to Return Coalition,1.0154
Palestine Solidarity Organisation in Sweden,1.0154
Palestinian Agricultural Relief Committees,1.0154
Palestinian Al Nakheel Association for Progress and Development,1.0154
Palestinian Association for Development and Reconstruction,1.0154
Palestinian Authority,1.0154
Palestinian Center of Organic Agriculture,1.0154
Palestinian Environmental Friends,1.0154
Palestinian Farmers Union,1.0154
Palestinian Human Rights Monitoring Group,1.0154
Palestinian Hydrological Group,1.0154
Palestinian Medical Relief Society,1.0154
Palestinian Peace Coalition,1.0154
Palestinian Peace Coalition ,1.0154
Palestinian Red Crescent Society,1.0154
"Palestinian territory, occupied",1.0154
Pan American Development Foundation,1.0154
Pan American Health and Education Foundation,1.0154
Panalpina Airfreight Incorporated,1.0154
Panama,1.007
Panamanian Red Cross,1.0154
Pan-American Health Organization (World Health Organization),1.0154
Panasonic,1.0154
Panhealth Care Organization,1.0154
Panzi Hospital,1.0154
PAP,1.0154
Papua New Guinea,0.9168
Papua New Guinea Red Cross,1.0154
Papua New Guinea Red Cross Society,1.0154
"Paradigm of Consciousness Ministries, Inc. ",1.0154
Paraguay,0.9525
Paraguay Red Cross,1.0154
Paraguayan Red Cross,1.0154
PARCIC,1.0154
PARD,1.0154
Parliamentarians for Global Action,1.0154
Parliamentary Forum,1.0154
Paroecia Latina S.Catharinae,1.0154
Parroquia Jesus Redentor,1.0154
Partage,1.0154
Parthenon Trust,1.0154
Participatory Educational Awareness and Community Empowerment,1.0154
Participatory Integrated Development Society,1.0154
Participatory Rural Development Society,1.0154
Partner Aid InterNational,1.0154
Partner Aid International e.V.,1.0154
PARTNERS,1.0154
Partners in Health,1.0154
Partners in Rural Development,1.0154
Partnership Africa Canada,1.0154
Partnership Center for Development and Democracy,1.0154
Partnership for Pastoralists Development Association,1.0154
Partnership for Peace,1.0154
Pastoral Social,1.0154
Pastoralist Concern Association Ethiopia,1.0154
Pastoralist Consultants InterNational,1.0154
Pastoralist Development Organization,1.0154
Pastoralist Integrated Support Programme,1.0154
Pathfinder InterNational,1.0154
Patient Friendly Society,1.0154
Patient's Help Fund,1.0154
Pattan Development Organization,1.0154
Patton Boggs LLP ,1.0154
Paul Hastings,1.0154
Pax Christi e.V,1.0154
PCPM - Polish Center for InterNational Aid,1.0154
PCPM - Polish Center for InterNational Aid ,1.0154
Peace Action Society Organisation for Somalia,1.0154
Peace and Conflict Institution,1.0154
Peace and Development Organization,1.0154
Peace Brigades InterNational,1.0154
Peace Building Fund,1.0154
Peace Corps,1.0154
Peace Corps Organization,1.0154
Peace Keeping Funds,1.0154
Peace Winds,1.0154
Peace Winds Japan,1.0154
Peacekeeping Forces,1.0154
PEGASE,1.0154
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,1.0154
Pema Medical Charity,1.0154
PEN InterNational,1.0154
Pentair,1.0154
Pentecostal Churches of Uganda,1.0154
Pentecostal Foreign Mission,1.0154
People in Aid,1.0154
People in Need ,1.0154
People in Peril,1.0154
Peoples Democracy Platform,1.0154
Peoples Empowerment and Consulting Enterprise,1.0154
Peoples' Organization for Development and Rehabilitation,1.0154
PepsiCo Foundation,1.0154
Père Jaar,1.0154
Periodic Review  - TCG ,1.0154
Perkumpulan Paluma Nusantara,1.0154
Perry Ellis InterNational,1.0154
Perspectives pour la Santé et le Développement,1.0154
Peru,0.9046
Peru Rail,1.0154
Peru Red Cross,1.0154
Peruvian Private Enterprise Colchones Paraiso,1.0154
Peruvian Red Cross,1.0154
Petits Frères et Soeurs,1.0154
Petroleos de Venezuela,1.0154
Pew Charitable Trusts ,1.0154
Pfizer,1.0154
Pharmaciens et Aide humanitaire,1.0154
Pharmaciens Sans Frontieres - Comite InterNational,1.0154
Pharmaciens sans Frontières (France),1.0154
Pharmaciens sans frontières (PSF),1.0154
Philadelphia Insurance Companies,1.0154
Philani Maswati Organization,1.0154
Philippine Business for Social Progress,1.0154
Philippine Red Cross ,1.0154
Philippines,1.0017
Philippines National Red Cross ,1.0154
PHRO - Palestinian Human Rights Organisation ,1.0154
Physicians Across Continents,1.0154
Physicians for Human Rights,1.0154
PIAL,1.0154
PIDAD,1.0154
Pietrantoni Mendez & Alvarez LLP,1.0154
PIPA,1.0154
Pirelli & C. Societa per Azioni,1.0154
Plan Benin,1.0154
Plan Canada,1.0154
Plan Haiti,1.0154
Plan Indonesia ,1.0154
Plan InterNational,1.0154
Plan Ireland,1.0154
Plan Mali,1.0154
Plan Niger,1.0154
Plan Norge,1.0154
Plan Sudan,1.0154
Plan Sweden,1.0154
Plan Timor-Leste,1.0154
Plan UK,1.0154
Plan USA,1.0154
PLANAT,1.0154
Planeta,1.0154
Planete Urgence,1.0154
"Planned Parenthood Federation, InterNational",1.0154
Planning and Development Collaborative InterNational,1.0154
"Plateforme d""insertion par l""humanitaire",1.0154
PLO DoRA,1.0154
PMU-Interlife,1.0154
Point of Peace,1.0154
PokerStars,1.0154
Poland,0.9545
Poland Red Cross,1.0154
Polish Center for International Aid,1.0154
Polish Humanitarian Action,1.0154
Polish Humanitarian Organisation,1.0154
Polish Red Cross,1.0154
Politidirektoratet,1.0154
Pompiers sans frontières,1.0154
"Population Leadership Program, the University of Washington",1.0154
Population Services InterNational,1.0154
Portugal,1.024
Portugal Red Cross,1.0154
Portuguese Institute for Cooperation,1.0154
Portuguese Red Cross,1.0154
Posko Atambua,1.0154
PotashCorp,1.0154
Potsdam Kommunikation,1.0154
Pour une Syrie libre,1.0154
Practical Action ( formerly Intermediate Technology Development Group),1.0154
Practical Action (formerly Intermediate Technology Development Group),1.0154
PRADET,1.0154
Praktisk Solidarites,1.0154
PRB,1.0154
Prefecto of the Department of La Paz,1.0154
Prem Rawat Foundation,1.0154
Premiere Urgence,1.0154
Première Urgence - Aide Médicale InterNationale,1.0154
PREPARED,1.0154
Presbyterian Church in Ireland,1.0154
Presbyterian Church of Korea,1.0154
Presbyterian Disaster Assistance,1.0154
Press Emblem Campaign,1.0154
Press Trust / IDI,1.0154
PriceWaterhouseCoopers,1.0154
PRIMA SYNERGIE,1.0154
Primate's World Relief and Development Fund,1.0154
Prime Minister's National Relief Fund/India,1.0154
Princess Cruises,1.0154
"Principal Financial Group Foundation, Inc",1.0154
"PRIO - InterNational Peace Research Institute, Oslo",1.0154
Private (individuals & organisations),1.0154
Private Agencies Collaborating Together,1.0154
Private Agencies Collaborating Together ,1.0154
Private Voluntary Organizations,1.0154
"Pro Pac, Inc.",1.0154
Procter & Gamble Inc.,1.0154
Progedes-Nicaragua,1.0154
Programme Against Malnutrition,1.0154
Programme de Promotion de Soins de Santé Primaires (PPSSP),1.0154
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,1.0154
Programme for Emergency Education and Reconstruction ,1.0154
Progressio,1.0154
Progressive Interventions,1.0154
Project Aparajita - VHAI,1.0154
Project Concern InterNational,1.0154
Project HOPE,1.0154
PROMAN,1.0154
PROMARK,1.0154
Promoting Recovery in Zimbabwe,1.0154
Protos,1.0154
Protracted Relief Programme Partners (Zimbabwe),1.0154
Provea - Venezolano de Educación-Acción en Derechos Humanos,1.0154
ProVention,1.0154
Proximity Designs (formerly International Development Enterprises),1.0154
"Prudential Financial, Inc.",1.0154
PSF-France/Clermont-Ferrand,1.0154
PSO,1.0154
PSR / IPPNW,1.0154
Psykisk Helsevern Østfold HF v/ Norum,1.0154
PTM - Paz y Tercer Mundo,1.0154
PTT Public Company Limited,1.0154
Public Accounts Committee,1.0154
Public Affairs Committee,1.0154
Public Welfare Foundation,1.0154
Publix,1.0154
Puerto Rico,1.0154
PUMP AID,1.0154
PUNTO SUD,1.0154
Purpose Foundation,1.0154
Pyoe Pin,1.0154
Qandil,1.0154
Qatar,0.9141
Qatar Charitable Society,1.0154
Qatar Charity,1.0154
Qatar Red Crescent,1.0154
Qatar Red Crescent Society,1.0154
"QED Limited, LLC",1.0154
Quaker United Nations Office,1.0154
Qualcomm Inc.,1.0154
Questscope,1.0154
"QVC, Inc.",1.0154
Qwest Foundation ,1.0154
"Raad, Liv",1.0154
Rabbis for Human Rights,1.0154
Radanar Ayar Association,1.0154
Radio SAWA,1.0154
Radisson SAS,1.0154
Raf-Thani Foundation,1.0154
"Raftostiftelsen, prosjekt",1.0154
Raggio di Luce ,1.0154
Rahma Islamic Relief Fund,1.0154
Rahmo Rehabilitation Organisation,1.0154
Rainbow Gateway,1.0154
Rainwater Association of Somalia,1.0154
RAK Ceramics,1.0154
Random House,1.0154
Rape Crisis Centre,1.0154
Raqeep Organization for Human Rights,1.0154
Rasawad Welfare Association,1.0154
Rawa Association,1.0154
Raygroup SAS,1.0154
Raytheon,1.0154
RBC,1.0154
RCN Justice Democratie,1.0154
RCO,1.0154
RCT,1.0154
RDN,1.0154
REA - Réhabilitation  Education Aide social,1.0154
Reach Out,1.0154
Reach Out Initiative,1.0154
Reach Out To Asia,1.0154
Rebatisseurs de la muraille des oeuvres de Dieu,1.0154
RECSASEC - Regional Centre on Small Arms and Light Weapons,1.0154
Red Crescent Society of Azerbaijan,1.0154
Red Crescent Society of Djibouti,1.0154
Red Crescent Society of Kyrgyzstan,1.0154
Red Crescent Society of Tajikistan,1.0154
Red Crescent Society of the Islamic Republic of Iran,1.0154
Red Crescent Society of the United Arab Emirates,1.0154
Red Crescent Society of Uzbekistan,1.0154
Red Cross,1.0154
Red Cross of Cape Verde,1.0154
Red Cross of Chad,1.0154
Red Cross of Monaco,1.0154
Red Cross of Montenegro,1.0154
Red Cross of Serbia,1.0154
Red Cross of Serbia,1.0154
Red Cross of the Democratic Republic of the Congo,1.0154
"Red Cross of The Former Yugoslav Republic of Macedonia, The",1.0154
"Red Cross of The Former Yugoslav Republic of Macedonia, The",1.0154
Red Cross of Viet Nam,1.0154
Red Cross Society of Bosnia and Herzegovina,1.0154
Red Cross Society of China,1.0154
Red Cross Society of Georgia,1.0154
Red Cross Society of Niger,1.0154
Red Cross Society of Panama,1.0154
Red Cross Society of the Democratic People's Republic of Korea,1.0154
Red Cross Society of the Republic of Moldova,1.0154
Red R,1.0154
REDOG,1.0154
RedR,1.0154
RedR UK,1.0154
Refugee Education Trust,1.0154
Refugee Studies Centre,1.0154
Refugee Trust,1.0154
Refugees InterNational,1.0154
Regence Foundation,1.0154
Regional Centre Small Arms Light Weapons,1.0154
Regional Govt of Lambayeque (Peru),1.0154
Regnskogfondet,1.0154
Rehabilitation and Research Centre for Torture Victims,1.0154
Rehabilitation InterNational,1.0154
Relationships Foundation InterNational,1.0154
Relief and Recovery Unit - Zimbabwe,1.0154
Relief InterNational,1.0154
Religiosas de Jesus-Maria,1.0154
Religiosas Franciscanas Mision,1.0154
Religiosas Hermanas Terciarias,1.0154
Remedial English and Science Course Centre,1.0154
Reporters Sans Frontières,1.0154
Reprise de Justesse,1.0154
Republic of Korea National Red Cross,1.0154
Republic of South Sudan,1.0154
Rescue South Africa,1.0154
Research Council of Norway,1.0154
Reseau des Entrepreneurs Solidaires,1.0154
Resident Coordinators Support Office,1.0154
Response InterNational,1.0154
Responsive,1.0154
REST - Relief Society of Tigray,1.0154
RESTART,1.0154
Results Japan,1.0154
Reunion,1.0154
Reynolds American Foundation,1.0154
RHA,1.0154
Richard and Susan Smith Family Foundation,1.0154
Right to Live Society,1.0154
Right to Play,1.0154
Ripley,1.0154
Risk and Insurance Management Society,1.0154
Rissho Koseikai,1.0154
Rite Aid,1.0154
Riverine Relief Program,1.0154
Riverside Technologies Inc.,1.0154
RKV - Flemish Red Cross,1.0154
RMS Foundation,1.0154
Rockefeller Foundation,1.0154
Rockwell Collins,1.0154
Roddick Foundation,1.0154
ROFI Industrier AS,1.0154
Rogers Communications,1.0154
ROKPA,1.0154
ROLEX,1.0154
Romania,0.9986
Romania Red Cross,1.0154
Romanian Red Cross,1.0154
Ronald McDonald House Charities,1.0154
RONCO Consulting Corporation,1.0154
Root of Grass,1.0154
ROPKA InterNational,1.0154
Rosalia Hoog,1.0154
Roshni Development Organization,1.0154
"Ross Stores, Inc.",1.0154
ROSSAIR,1.0154
Rotary Club of Shanghai,1.0154
Rotary Fiji,1.0154
Rotary InterNational,1.0154
Rothschild Estates,1.0154
Roy A. Hunt Foundation,1.0154
Royal Bank of Canada,1.0154
Royal Caribbean InterNational,1.0154
Royal Danish Embassy - Jakarta,1.0154
Royal Danish Representative Office in Colombo,1.0154
Royal Health Awareness Society,1.0154
RTI,1.0154
Ruedi Leuppi Stiftung Elfenbeinküste,1.0154
Rufaid Health Foundation,1.0154
Rufaida Health Foundation,1.0154
