Recipient Organization,recipientcodename
MassMutual Financial Group,private sector corporations
Mastercard Foundation,foundations
Matrix,other
Matrix InterNational,private sector corporations
Mattel,private sector corporations
Mauritania,NDD
Mauritanian Red Crescent,red cross
Mauritius,NDD
Mauritius Red Cross,red cross
Mauritius Red Cross Society,red cross
Mavambo Orphan Care,NGOs
Maxim G Rochester and Leighton McKnight,private sector corporations
MAXIMUS,private sector corporations
Mayer Brown,private sector corporations
Mazda,private sector corporations
McAfee,private sector corporations
McDonald's Corporation,private sector corporations
McGregor Fund,foundations
McKesson Corporation,private sector corporations
MDC / TMAC,other
MEDAIR,NGOs
Medecins d'Afrique,NGOs
Médecins du Monde,NGOs
Médecins du Monde Belgium,NGOs
Médecins du Monde Canada,NGOs
Médecins du Monde France,NGOs
Médecins du Monde Greece,NGOs
Médecins du Monde Suisse,NGOs
Médecins sans Frontières,NGOs
Médecins sans Frontières - Belgium,NGOs
Médecins sans Frontières - Canada,NGOs
Médecins sans Frontières - France,NGOs
Médecins sans Frontières - Luxembourg,NGOs
Médecins sans Frontières - Netherlands,NGOs
Médecins sans Frontières - Norway,NGOs
Médecins sans Frontières - Switzerland,NGOs
MEDECO,private sector corporations
Media Action Intl.,NGOs
Media Frontiers,NGOs
Media21,private sector corporations
Medica Mondiale,NGOs
Medical Aid for Palestinians,NGOs
Medical Aids for Children of DPRK,other
Medical Assistance Programs InterNational,NGOs
Medical Emergency Relief InterNational,NGOs
Medical Emergency Relief InterNational Charitable Trust,NGOs
Medical Relief Society,NGOs
Medical Research Council,academia/think/research
Medical Teams InterNational ,NGOs
Medico International,NGOs
Medico Intl.,NGOs
Medicor Foundation,foundations
Medicos del Mundo,NGOs
Medicos del Mundo Argentina,NGOs
Medicos do Mundo,NGOs
Medicos en catastrofe (MEC),NGOs
Medicos sin Fronteras,NGOs
Medicuba en Salud,NGOs
MediCuba-Suisse,NGOs
Medicus Mundi,NGOs
Medilor,NGOs
Medina,other
Mediothek für Afghanistan e.V,NGOs
Medishare,private individual organisations
Meds & Food for Kids,NGOs
Medshare,NGOs
Medtronic Foundation,foundations
Mekka Association,NGOs
Mekong River Commission,Other multi
MEMISA - Action médicale missionnaire ,NGOs
Memorial Human Rights Centre,other
MEN,other
Menasha Corporation ,private sector corporations
Mennonite Central Committee,NGOs
Menschen für,NGOs
Menschen Gegen Minen,NGOs
Mensen in Nood Caritas,NGOs
Mentor Initiative,NGOs
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),other
Merck & Co. Inc.,private sector corporations
MERCY - USA FOR AID AND DEVELOPMENT,private individual organisations
Mercy Corps ,NGOs
Mercy Corps Scotland,NGOs
Mercy Hands for Humanitarian Aid,NGOs
Mercy Malaysia,NGOs
Mercy Relief,NGOs
"Mercy Relief, Singapore",NGOs
Mercy Ships,NGOs
Mercy-USA for Aid and Development,NGOs
Merove-Pierre Et Associes,private sector corporations
Merrill Lynch ,private sector corporations
Merti Integrated Development Programme,NGOs
MetaCorp,private sector corporations
Meteorologisk Institutt,DAC governments
Metta Foundation,foundations
Mexican Red Cross,red cross
Mexico,NDD
Mexico Red Cross,red cross
MfAS,other
MIC EU Civil Protection,EC
Micronesia Red Cross,red cross
"Micronesia,  Federated States of",NDD
Microsoft,private sector corporations
Midwest Canvas Corporation,private sector corporations
Migros,private sector corporations
Mildmay,NGOs
Milinda Moragoda institute for people's empowerment,academia/think/research
Millenium Project Hunger Task Force,UN Multi
Millennium Relief and Development,NGOs
Miloserdie (Mercy)  ,NGOs
Mine Action Canada,NGOs
Mine Action Group,other
Mine Action Programme for Afghanistan,other
Mine Clearance and Planning Agency,NGOs
Mine Detection Centre,other
Mines Advisory Group,NGOs
Mingalar Myanmar,NGOs
Ministry for Transportation and Infrastructure,NDD
Ministry of Agriculture and Irrigation,NDD
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",NDD
Ministry of Defense of Germany,DAC governments
Ministry of Environment and University of Zurich,other
Ministry of Foreign Affairs,other
Ministry of Rural Rehabilitation and Development Afghanistan,NDD
Minneapolis Foundation,foundations
Minority Rights Group InterNational,NGOs
MINUSTAH,UN Multi
MIR - MUXO Impact Relief,other
MIRC Corporate,private sector corporations
Misereor,private individual organisations
Misericordia InterNational Center Day Care,other
Mision para Cristo,private individual organisations
MISOLA,NGOs
"Mission 21, Basle",private individual organisations
Mission am Nill,private individual organisations
Mission Armenia,private individual organisations
Mission Austria - Päpstliche Missionswerke in österreich,private individual organisations
Mission Aviation Fellowship,private individual organisations
Mission East,NGOs
Mission Enfance,NGOs
Mission Ost - DNK,NGOs
Missionnaires du Divin Maître,private individual organisations
Missionnaires du Divin Maître/Shabunda,other
Missionsärztliches Institut Würzburg,academia/think/research
Missionszentrale der Franziskaner e.V.,private individual organisations
Mitsubishi Electric,private sector corporations
"Mitsui USA, Inc.",private sector corporations
MoAAH/FAO,other
Mobilink Foundation,foundations
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations
Moldova,NDD
Molson Coors Brewing Company,private sector corporations
"Molycorp, Inc.",private sector corporations
Monaco,NDD
Monaco Aide et Presence,private individual organisations
Monaco Red Cross,red cross
MoneyGram InterNational,private sector corporations
Mongolia,NDD
Mongolia Red Cross,red cross
Mongolian Red Cross,red cross
Monitoring Evaluation And Training Agency,NGOs
Monsanto Co.,private sector corporations
Montenegro,NDD
Monterey Institute of InterNational Studies,academia/think/research
MONUC,UN Multi
Moody's,private sector corporations
Moravian Church,private individual organisations
Morgan Stanley,private sector corporations
Morija,other
Moroccan Red Crescent,red cross
Morocco,NDD
Morocco Red Crescent,red cross
Mosaic Company,private sector corporations
Mother and Children Development Aid,other
Mothers of Chechnya,private individual organisations
Motorola Foundation,foundations
Movement Centre of Jeju Citizen to Cooperation between South and North,NGOs
"Movimiento por la Paz, el Desarme y la Libertad",NGOs
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",NGOs
MOVIMONDO,NGOs
Movitel,private sector corporations
Mozambique,NDD
Mozambique Red Cross,red cross
Mozambique Red Cross Society,red cross
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",NGOs
MPDL - PRTM,NGOs
MRCA - Medical Refresher Course for Afghan,other
MRCA / AMI,other
MRRD/UNICEF,other
MRRD/UNOPS,other
MS Denmark,DAC governments
MSD-DK,private sector corporations
MSI,other
MSZ,other
Mubadiroon Organisation,private individual organisations
Mubarak for Relief and Development Organization,NGOs
Muhammadiyah,private individual organisations
Mulrany InterNational,private sector corporations
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled
Multi-Donor Trust Fund ,Other pooled
Multi-Donor Trust Fund for the Sudan,Other pooled
Multi-Donor Trust Fund for the Sudan ,Other pooled
Multi-Donor Trust Fund for the Sudan South,Other pooled
Multilateral Agencies,other
MultiNational Interim Force,UN Multi
Multiple Partners,other
Museke Foundation,foundations
Muslim Aid,NGOs
Muslim Aid and GlobalMedic,NGOs
Mvuramanzi Trust,NGOs
Mwelekeo Trust,NGOs
Myanmar,NDD
Myanmar Business Coalition on AIDS,NGOs
Myanmar NGO Contingency Plan Steering Committee,NGOs
Myanmar Red Cross,red cross
Myanmar Red Cross Society,red cross
"NABA""A",other
NAC,other
Nachbar in Not,other
NACSA - National Commission for Social Action - Sierra Leone  ,NDD
NaCSA/World Bank,Other multi
Nærings- og Handelsdepartementet,other
Næringslivets Hovedorganisasjon,private individual organisations
Nahda Makers Organization,NGOs
Nahdlatul Ulamu,private individual organisations
Najat Charitable Society,NGOs
Namibia,NDD
Namibia CARES Movement,NGOs
Namibia Red Cross,red cross
Namibian Red Cross,red cross
Nasjonalt Folkehelseinstitutt,academia/think/research
Nathan Associates,private sector corporations
Nathan Cummings Foundation,foundations
National Agency for the Prohibition of Traffic in Persons - Nigeria,NDD
National Agricultural Cooperative Federation,NGOs
National Anti War Front,other
National Bank of Canada,private sector corporations
National Basketball Association,private individual organisations
National Center for the Prevention of HIV/AIDS,other
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,NGOs
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",NDD
National Commission for Human Development,private individual organisations
National Commission for Lebanese Women,NDD
National Committee for Demining and Rehabilitation,other
National Committee for Disaster Management,other
National Council of Churches in Australia,private individual organisations
National Council of Churches of Kenya,private individual organisations
National Council of Saemaul Undong Movement,NGOs
National Democratic Institute,NGOs
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,other
National Development Organization,other
National Disaster Response Coordinating Council,NDD
National Emergency Commission of Costa Rica,NDD
"National Fishery Society, Peru",private sector corporations
National Football League,private individual organisations
National Foundation for Development and Human Rights,foundations
National Grid,private sector corporations
National Institution of Social Care & Vocational Training,NGOs
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),NGOs
National Integrated Development Agency,NGOs
National Office for Electoral Process,NDD
National Peace Corps Association,NGOs
National Primary Health Care Development Agency,NDD
National Radio Appeal,other
National Relief Committee,private individual organisations
National Rural Support Programme,other
National Society for Earthquake Technology,academia/think/research
National Society for Rehabilitation,other
National Space Agency of Ukraine,NDD
Nationwide Insurance Foundation,foundations
NATO / PfP,Other multi
Natur Environments & Wildlife Society and Calcutta Foundation,other
Natures Way,private sector corporations
Naval Medical Research Unit,academia/think/research
Nawayee Rehabilitation and Development Organization for Afghan Women,private individual organisations
Near East Foundation,foundations
NEC Corporation,private sector corporations
Nehemia Christenhilfsdienst e.V.,NGOs
Neighborhood Disaster Volunteers,other
Neighbors Initiative Alliance,NGOs
NEM Insurance Company,private sector corporations
NEMA - National Emergency Management Agency,NDD
Nepal,NDD
Nepal Red Cross Society,red cross
NEPCom,private sector corporations
Nestle,private sector corporations
Nestle USA,private sector corporations
Netherlands,DAC governments
Netherlands Embassy in Namibia,DAC governments
Netherlands Red Cross,red cross
Netherlands Refugee Foundation,foundations
"NetSol Technologies, Inc",private sector corporations
Network on Humanitarian Assistance,other
NETZ,other
New Consultancy and Relief Organization,other
New Iraqi Woman Organization,NGOs
New Ireland PDC,Other multi
New South Wales Relief Fund,DAC governments
New York Life Insurance Company,private sector corporations
New York Yankees,private individual organisations
New Zealand,DAC governments
New Zealand Red Cross,red cross
Newman Foundation,foundations
News Corp.,private sector corporations
Next Step AS,other
Next Step Productions,NGOs
Nextel Peru,private sector corporations
Ngazi Moja Foundation,foundations
NGO Consortium,NGOs
NGO Coordination Committee in Iraq,NGOs
NGO FORUM,NGOs
NGO Fridsro,NGOs
NGO Mondo,NGOs
NGO Ninez y Vida,NGOs
NGO Safety Program,NGOs
NGO Security Programme,NGOs
NGOs (details not yet provided),NGOs
NGOs; Red Cross (details not yet provided) ,other
NGOs; Red Cross/Red Crescent (details not yet provided),other
Nicaragua,NDD
Nicaragua Red Cross,red cross
Nicaraguan Forestry Institute,NDD
Nicaraguan Red Cross,red cross
Niger,NDD
Niger Red Cross,red cross
Nigeria,NDD
Nigeria Red Cross,red cross
Nigerian Red Cross Society,red cross
NIISO,other
Nike,private sector corporations
Nikon,private sector corporations
Nile Hope,NGOs
Nile Hope Development Forum,private individual organisations
Nile Mission,other
Nile People's Peace Conference,NGOs
Niños de la Tierra,private individual organisations
Ninôs del Cusco,NDD
Nintendo,private sector corporations
Nippon Foundation,foundations
Nippon InterNational Cooperation for Community Development,NGOs
NIRAS,private sector corporations
NiSource Charitable Foundation,foundations
Nissan Corporation,private sector corporations
NMIAD,other
No channel specified,other
Nobels Fredssenter,academia/think/research
Nokia,private sector corporations
Nomadic Assistance for Peace and Development,other
Nomads Development and Environmental Conservation,other
NOMECO,private sector corporations
Nomura Group,private sector corporations
Non Violent Peace Force ,NGOs
Non Violent Peace Force Sri Lanka ,other
Non-Aligned Movement Institute for the Empowerment of Women,academia/think/research
Nonviolence InterNational,NGOs
Nonviolent Peaceforce,NGOs
Noor Al Hussein Foundation,foundations
NOOR Dubai,private individual organisations
Nordic Demining Research Forum,academia/think/research
Nordic Institute of Asian Studies,academia/think/research
Nordic InterNational Rescue Foundation,foundations
Norfund,DAC governments
Norges Fredslag,other
Norges Geotekniske Institutt,academia/think/research
Norges Juristforbund,other
Normeca AS,private sector corporations
Norsk forbund f. utv.hemmede,other
Norsk Fredssenter,foundations
Norsk Luthersk Misjonssamband,NGOs
Norsk PEN,private individual organisations
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research
Norsk senter for menneskerettigheter,academia/think/research
Norsk tamilsk helse organisasjon,other
Norsk Vietnamesisk Senter,other
Norske Menneskerettighetsfond,NGOs
Norske PEN,private individual organisations
Norske Pinsemenigheters Ytremisjon,NGOs
Norske Redningshunder,NGOs
North Atlantic Treaty Organization,Other multi
Northeast Asia Forest Forum,NGOs
Northern Aid,NGOs
Northern Trust Corporation,private sector corporations
Northfield Bank Foundation,foundations
Northland Foundation,foundations
Northrop Grumman Corp,private sector corporations
North-South Institute,academia/think/research
Northwest Medical Teams InterNational,NGOs
Northwest Woolen Mills,private sector corporations
Northwestern Mutual Corp.,private sector corporations
NORWAC - Norwegian Aid Committee,NGOs
Norway,DAC governments
Norway Red Cross,red cross
Norway Royal Ministry of Foreign Affairs,DAC governments
Norwegian Afghanistan Committee,NGOs
Norwegian Aid Committee,private individual organisations
Norwegian Church Aid,NGOs
Norwegian Mission Association,NGOs
Norwegian Pentecostal Movement,private individual organisations
Norwegian People's Aid,NGOs
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs
Norwegian Red Cross,red cross
Norwegian Refugee Council,NGOs
Norwegian Search and Rescue,DAC governments
Norwegian Tamils Health Organisation,private individual organisations
Not on our Watch,NGOs
Novartis,private sector corporations
Novellus Systems,private sector corporations
NOVIB,NGOs
Novo Nordisk,private sector corporations
NTNU,academia/think/research
NU,other
"Nuba Mountain Relief, Rehabilitation and Development Organization",NGOs
Nuba Mountains International Association for Development,NGOs
Nuer Peace Council,NGOs
Nukepills,private sector corporations
NUPI - Norsk utenr.pol. inst. ,academia/think/research
Nurani Dunia,foundations
NYSE Euronext,private sector corporations
OAP,other
Objectif Tiers Monde,NGOs
Observatorio San Calixo,private individual organisations
OCAPROCE,NGOs
Occidental Petroleum,private sector corporations
OCHA / IRIN,UN Multi
OCHA / ISDR,UN Multi
OCHA / REACT,UN Multi
OCHA NGO Funds,NGOs
OCHA/UNDP,UN Multi
OCHA/UNDP/ ISDR,UN Multi
OCHA/UNEP,UN Multi
Ockenden InterNational,NGOs
Oeuvre d'Orient,NGOs
Oeuvres hospitalières françaises de l'Ordre de Malte,NGOs
Office Depot,private sector corporations
Office for Drug Control and Crime Prevention,other
Office for Intellectual Freedom ,other
Office for the Coordination of Humanitarian Affairs,UN Multi
Office of Preparedness for Disasters and Emergencies,NDD
Office of the High Commissioner for Human Rights,UN Multi
Office of the Humanitarian Coordinator,UN Multi
Office of the Representative of Denmark to Afghanistan,DAC governments
Office of the Representative of the Dalai Lama,NDD
Office of the Resident and Humanitarian Coordinator,UN Multi
Office of the United Nations Special Coordinator for the Middle East Peace Process,UN Multi
Official Development Assistance,other
Oficina Panamericana de la Salud ,UN Multi
Òganizasyon Fanm tou Nèf Balan,other
OIC Aid Committee for the Child Victims of Tsunami,other
OIKOS - Intercooperação e Desenvolvimento ,NGOs
Oil for Food Programme,UN Multi
OIP - Office of the Iraq Programme,Other multi
OJAZ Foundation,NGOs
Okedongmu Children in Korea,NGOs
Oklahoma City Community Foundation,foundations
öKO HIMAL,other
Olympic Aid,NGOs
Oman,NDD
Oman Charitable Organisation,other
Omega Plus,private sector corporations
Omidyar Fund,private individual organisations
One Buddhism,NGOs
One Korea Buddhist Movement,NGOs
One Shekel Campaign in WB,NGOs
"One UN Fund, EFW",UN Multi
OneBeacon Charitable Trust,other
ONG Actions,other
ONGD - FNEL,private individual organisations
"Onnuri Church, Rep. of Korea",NGOs
ONUA - HRD,UN Multi
öö Volkshilfe,NGOs
OPEC Fund for InterNational Development,Other multi
Open Continent,other
Open Doors,private individual organisations
Open Society Foundation,foundations
Open Society Institute,foundations
Open Society Institute Assistance Foundation,foundations
Operation Blessing InterNational,NGOs
Operation Helping Hand of Tampa,private individual organisations
"Operation Helping Hands, American Samoa",NGOs
Operation Lifeline Sudan,other
Operation Mercy,NGOs
Operation Save Innocent Lives,NGOs
Operation USA,NGOs
Opération villages roumains,private individual organisations
Operations Team,other
Opportunities Industrialisation Centres InterNational,NGOs
ORA e. V. Deutsher Hilfsfonds,NGOs
ORA InterNational Lobito,NGOs
Order of Malta,NDD
Oregon Community Foundation,foundations
Organisation de la conférence islamique ,private individual organisations
Organisation for Economic Co-operation and Development,Other multi
Organisation for Mine Awareness and Reconstruction,other
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,NGOs
Organisation InterNationale de la Francophonie,NGOs
Organisation Marocaine Des Droits de l'homme,NGOs
Organisation of Islamic Cooperation,private individual organisations
Organisation of Rural Associations for Progress,private individual organisations
Organisation of the Islamic Conference,Other multi
Organization Catholique Pour la Promotion Humaine,NGOs
Organization for African Unity,Other multi
Organization for Security & Cooperation in Europe,Other multi
Organization for Social Development Initiatives,NGOs
Organization of American States,Other multi
Organization of Arab Red Crescent and Red Cross Society,red cross
Organization of Petroleum Exporting Countries Fund,Other multi
Orphans and Divorced Rights Association,other
Orthodox Church in America,private individual organisations
OshKosh Corp.,private sector corporations
Oslo Coalition on Freedom of Religion or Belief,private individual organisations
Oslosenteret for fred og menneskerettigheter,other
österreichisches Nord-Süd-Institut,academia/think/research
Other income,other
Ottawa Convention Sponsorship Programme,other
Ottawa Convention Sponsorship Programme ,other
Overseas Development Institute,academia/think/research
OXFAM,NGOs
Oxfam America,NGOs
OXFAM Australia,NGOs
OXFAM Belgium,NGOs
OXFAM Canada,NGOs
OXFAM GB,NGOs
OXFAM Hong Kong,NGOs
Oxfam India,NGOs
OXFAM InterNational,NGOs
OXFAM Ireland,NGOs
Oxfam Italia,NGOs
OXFAM Netherlands (NOVIB),NGOs
OXFAM Quebec,NGOs
OXFAM Solidarite,NGOs
OXFAM/Community Aid Abroad (OXFAM-Australia),NGOs
Oxford Research Group,academia/think/research
Oxford University,academia/think/research
PA_05,other
PACCAR Inc.,private sector corporations
Pacific Islands Forum,Other multi
Packard Foundation,foundations
Pact Inc.,private sector corporations
PACT Myanmar,NGOs
PACTEC,NGOs
"PADCO, WWCIS, ASI",other
PAICMA,NDD
PAIMAN Alumni Trust,other
Pain Pour Les Déshérités (PPLD),other
Pak Rural Development Program,private individual organisations
Pakistan,NDD
Pakistan Association  in Dubai,private individual organisations
Pakistan Humanitarian Forum (consortium),NGOs
Pakistan Red Crescent,red cross
Pakistan Red Crescent Society,red cross
Pakistan Telecommunication Company LTD.,private sector corporations
Pakistan Village Development Program,NGOs
Pakistansk Velferdsorganisasjon Norge,other
Palau,NDD
Palau Red Cross,red cross
Palau Red Cross Society,red cross
Palestinakomiteen i Norge,NGOs
Palestine Red Crescent Society,red cross
Palestine Right to Return Coalition,NGOs
Palestine Solidarity Organisation in Sweden,NGOs
Palestinian Agricultural Relief Committees,NGOs
Palestinian Al Nakheel Association for Progress and Development,NGOs
Palestinian Association for Development and Reconstruction,NGOs
Palestinian Authority,NDD
Palestinian Center of Organic Agriculture,NGOs
Palestinian Environmental Friends,NGOs
Palestinian Farmers Union,other
Palestinian Human Rights Monitoring Group,NGOs
Palestinian Hydrological Group,NGOs
Palestinian Medical Relief Society,NGOs
Palestinian Peace Coalition,private individual organisations
Palestinian Peace Coalition ,other
Palestinian Red Crescent Society,red cross
"Palestinian territory, occupied",NDD
Pan American Development Foundation,foundations
Pan American Health and Education Foundation,foundations
Panalpina Airfreight Incorporated,private sector corporations
Panama,NDD
Panamanian Red Cross,red cross
Pan-American Health Organization (World Health Organization),UN Multi
Panasonic,private sector corporations
Panhealth Care Organization,UN Multi
Panzi Hospital,other
PAP,other
Papua New Guinea,NDD
Papua New Guinea Red Cross,red cross
Papua New Guinea Red Cross Society,red cross
"Paradigm of Consciousness Ministries, Inc. ",NGOs
Paraguay,NDD
Paraguay Red Cross,red cross
Paraguayan Red Cross,red cross
PARCIC,NGOs
PARD,other
Parliamentarians for Global Action,NGOs
Parliamentary Forum,other
Paroecia Latina S.Catharinae,other
Parroquia Jesus Redentor,private individual organisations
Partage,NGOs
Parthenon Trust,NGOs
Participatory Educational Awareness and Community Empowerment,other
Participatory Integrated Development Society,NGOs
Participatory Rural Development Society,NGOs
Partner Aid InterNational,NGOs
Partner Aid International e.V.,NGOs
PARTNERS,other
Partners in Health,NGOs
Partners in Rural Development,NGOs
Partnership Africa Canada,NGOs
Partnership Center for Development and Democracy,NGOs
Partnership for Pastoralists Development Association,private individual organisations
Partnership for Peace,Other multi
Pastoral Social,private sector corporations
Pastoralist Concern Association Ethiopia,NGOs
Pastoralist Consultants InterNational,private individual organisations
Pastoralist Development Organization,private individual organisations
Pastoralist Integrated Support Programme,NGOs
Pathfinder InterNational,NGOs
Patient Friendly Society,other
Patient's Help Fund,NGOs
Pattan Development Organization,NGOs
Patton Boggs LLP ,private sector corporations
Paul Hastings,private sector corporations
Pax Christi e.V,NGOs
PCPM - Polish Center for InterNational Aid,academia/think/research
PCPM - Polish Center for InterNational Aid ,NGOs
Peace Action Society Organisation for Somalia,NGOs
Peace and Conflict Institution,academia/think/research
Peace and Development Organization,NGOs
Peace Brigades InterNational,NGOs
Peace Building Fund,UN Multi
Peace Corps,DAC governments
Peace Corps Organization,private individual organisations
Peace Keeping Funds,UN Multi
Peace Winds,NGOs
Peace Winds Japan,NGOs
Peacekeeping Forces,UN Multi
PEGASE,EC
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,other
Pema Medical Charity,private individual organisations
PEN InterNational,private individual organisations
Pentair,private sector corporations
Pentecostal Churches of Uganda,private individual organisations
Pentecostal Foreign Mission,NGOs
People in Aid,NGOs
People in Need ,NGOs
People in Peril,NGOs
Peoples Democracy Platform,private individual organisations
Peoples Empowerment and Consulting Enterprise,NGOs
Peoples' Organization for Development and Rehabilitation,other
PepsiCo Foundation,foundations
Père Jaar,other
Periodic Review  - TCG ,private individual organisations
Perkumpulan Paluma Nusantara,other
Perry Ellis InterNational,private sector corporations
Perspectives pour la Santé et le Développement,other
Peru,NDD
Peru Rail,private sector corporations
Peru Red Cross,red cross
Peruvian Private Enterprise Colchones Paraiso,private sector corporations
Peruvian Red Cross,red cross
Petits Frères et Soeurs,private individual organisations
Petroleos de Venezuela,private sector corporations
Pew Charitable Trusts ,other
Pfizer,private sector corporations
Pharmaciens et Aide humanitaire,private individual organisations
Pharmaciens Sans Frontieres - Comite InterNational,NGOs
Pharmaciens sans Frontières (France),NGOs
Pharmaciens sans frontières (PSF),NGOs
Philadelphia Insurance Companies,private sector corporations
Philani Maswati Organization,private individual organisations
Philippine Business for Social Progress,private individual organisations
Philippine Red Cross ,red cross
Philippines,NDD
Philippines National Red Cross ,red cross
PHRO - Palestinian Human Rights Organisation ,NGOs
Physicians Across Continents,NGOs
Physicians for Human Rights,NGOs
PIAL,other
PIDAD,other
Pietrantoni Mendez & Alvarez LLP,private sector corporations
PIPA,other
Pirelli & C. Societa per Azioni,private sector corporations
Plan Benin,NGOs
Plan Canada,NGOs
Plan Haiti,NGOs
Plan Indonesia ,NGOs
Plan InterNational,NGOs
Plan Ireland,NGOs
Plan Mali,NGOs
Plan Niger,NGOs
Plan Norge,NGOs
Plan Sudan,NGOs
Plan Sweden,NGOs
Plan Timor-Leste,NGOs
Plan UK,NGOs
Plan USA,NGOs
PLANAT,DAC governments
Planeta,NGOs
Planete Urgence,NGOs
"Planned Parenthood Federation, InterNational",private individual organisations
Planning and Development Collaborative InterNational,private individual organisations
"Plateforme d""insertion par l""humanitaire",other
PLO DoRA,other
PMU-Interlife,NGOs
Point of Peace,foundations
PokerStars,private sector corporations
Poland,DAC governments
Poland Red Cross,red cross
Polish Center for International Aid,NGOs
Polish Humanitarian Action,NGOs
Polish Humanitarian Organisation,NGOs
Polish Red Cross,red cross
Politidirektoratet,other
Pompiers sans frontières,NGOs
"Population Leadership Program, the University of Washington",academia/think/research
Population Services InterNational,NGOs
Portugal,DAC governments
Portugal Red Cross,red cross
Portuguese Institute for Cooperation,DAC governments
Portuguese Red Cross,red cross
Posko Atambua,other
PotashCorp,private sector corporations
Potsdam Kommunikation,NGOs
Pour une Syrie libre,NGOs
Practical Action ( formerly Intermediate Technology Development Group),NGOs
Practical Action (formerly Intermediate Technology Development Group),NGOs
PRADET,NGOs
Praktisk Solidarites,NGOs
PRB,private individual organisations
Prefecto of the Department of La Paz,NDD
Prem Rawat Foundation,foundations
Premiere Urgence,NGOs
Première Urgence - Aide Médicale InterNationale,NGOs
PREPARED,other
Presbyterian Church in Ireland,NGOs
Presbyterian Church of Korea,private individual organisations
Presbyterian Disaster Assistance,private individual organisations
Press Emblem Campaign,private individual organisations
Press Trust / IDI,other
PriceWaterhouseCoopers,private sector corporations
PRIMA SYNERGIE,other
Primate's World Relief and Development Fund,NGOs
Prime Minister's National Relief Fund/India,NDD
Princess Cruises,private sector corporations
"Principal Financial Group Foundation, Inc",private sector corporations
"PRIO - InterNational Peace Research Institute, Oslo",academia/think/research
Private (individuals & organisations),private individual organisations
Private Agencies Collaborating Together,NGOs
Private Agencies Collaborating Together ,NGOs
Private Voluntary Organizations,other
"Pro Pac, Inc.",private sector corporations
Procter & Gamble Inc.,private sector corporations
Progedes-Nicaragua,other
Programme Against Malnutrition,NGOs
Programme de Promotion de Soins de Santé Primaires (PPSSP),NGOs
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,other
Programme for Emergency Education and Reconstruction ,other
Progressio,NGOs
Progressive Interventions,other
Project Aparajita - VHAI,NGOs
Project Concern InterNational,NGOs
Project HOPE,NGOs
PROMAN,private sector corporations
PROMARK,private sector corporations
Promoting Recovery in Zimbabwe,DAC governments
Protos,NGOs
Protracted Relief Programme Partners (Zimbabwe),NGOs
Provea - Venezolano de Educación-Acción en Derechos Humanos,NGOs
ProVention,private individual organisations
Proximity Designs (formerly International Development Enterprises),private sector corporations
"Prudential Financial, Inc.",private sector corporations
PSF-France/Clermont-Ferrand,other
PSO,other
PSR / IPPNW,private individual organisations
Psykisk Helsevern Østfold HF v/ Norum,other
PTM - Paz y Tercer Mundo,NGOs
PTT Public Company Limited,private sector corporations
Public Accounts Committee,private individual organisations
Public Affairs Committee,private individual organisations
Public Welfare Foundation,foundations
Publix,private sector corporations
Puerto Rico,DAC governments
PUMP AID,NGOs
PUNTO SUD,academia/think/research
Purpose Foundation,foundations
Pyoe Pin,other
Qandil,NGOs
Qatar,NDD
Qatar Charitable Society,NGOs
Qatar Charity,NGOs
Qatar Red Crescent,red cross
Qatar Red Crescent Society,red cross
"QED Limited, LLC",private sector corporations
Quaker United Nations Office,NGOs
Qualcomm Inc.,private sector corporations
Questscope,NGOs
"QVC, Inc.",private sector corporations
Qwest Foundation ,foundations
"Raad, Liv",other
Rabbis for Human Rights,private individual organisations
Radanar Ayar Association,NGOs
Radio SAWA,private sector corporations
Radisson SAS,private sector corporations
Raf-Thani Foundation,foundations
"Raftostiftelsen, prosjekt",other
Raggio di Luce ,other
Rahma Islamic Relief Fund,NGOs
Rahmo Rehabilitation Organisation,NGOs
Rainbow Gateway,other
Rainwater Association of Somalia,other
RAK Ceramics,private sector corporations
Random House,private sector corporations
Rape Crisis Centre,NGOs
Raqeep Organization for Human Rights,NGOs
Rasawad Welfare Association,private individual organisations
Rawa Association,NGOs
Raygroup SAS,private sector corporations
Raytheon,private sector corporations
RBC,private sector corporations
RCN Justice Democratie,NGOs
RCO,other
RCT,other
RDN,private sector corporations
REA - Réhabilitation  Education Aide social,NGOs
Reach Out,NGOs
Reach Out Initiative,NGOs
Reach Out To Asia,NGOs
Rebatisseurs de la muraille des oeuvres de Dieu,NGOs
