Donor,privatemoney
Menschen Gegen Minen,no
Mensen in Nood Caritas,no
Mentor Initiative,no
MENTOR-Malaria Emergency Technical and Operational Response (Johns Hopkins Univ.),no
Merck & Co. Inc.,private
MERCY - USA FOR AID AND DEVELOPMENT,private
Mercy Corps ,no
Mercy Corps Scotland,no
Mercy Hands for Humanitarian Aid,no
Mercy Malaysia,no
Mercy Relief,no
"Mercy Relief, Singapore",no
Mercy Ships,no
Mercy-USA for Aid and Development,no
Merove-Pierre Et Associes,private
Merrill Lynch ,private
Merti Integrated Development Programme,no
MetaCorp,private
Meteorologisk Institutt,no
Metta Foundation,private
Mexican Red Cross,no
Mexico,no
Mexico Red Cross,no
MfAS,no
MIC EU Civil Protection,no
Micronesia Red Cross,no
"Micronesia,  Federated States of",no
Microsoft,private
Midwest Canvas Corporation,private
Migros,private
Mildmay,no
Milinda Moragoda institute for people's empowerment,no
Millenium Project Hunger Task Force,no
Millennium Relief and Development,no
Miloserdie (Mercy)  ,no
Mine Action Canada,no
Mine Action Group,no
Mine Action Programme for Afghanistan,no
Mine Clearance and Planning Agency,no
Mine Detection Centre,no
Mines Advisory Group,no
Mingalar Myanmar,no
Ministry for Transportation and Infrastructure,no
Ministry of Agriculture and Irrigation,no
"Ministry of Agriculture, Irrigation and Livestock Afghanistan",no
Ministry of Defense of Germany,no
Ministry of Environment and University of Zurich,no
Ministry of Foreign Affairs,no
Ministry of Rural Rehabilitation and Development Afghanistan,no
Minneapolis Foundation,private
Minority Rights Group InterNational,no
MINUSTAH,no
MIR - MUXO Impact Relief,no
MIRC Corporate,private
Misereor,private
Misericordia InterNational Center Day Care,no
Mision para Cristo,private
MISOLA,no
"Mission 21, Basle",private
Mission am Nill,private
Mission Armenia,private
Mission Austria - Päpstliche Missionswerke in österreich,private
Mission Aviation Fellowship,private
Mission East,no
Mission Enfance,no
Mission Ost - DNK,no
Missionnaires du Divin Maître,private
Missionnaires du Divin Maître/Shabunda,no
Missionsärztliches Institut Würzburg,no
Missionszentrale der Franziskaner e.V.,private
Mitsubishi Electric,private
"Mitsui USA, Inc.",private
MoAAH/FAO,no
Mobilink Foundation,private
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,private
Moldova,no
Molson Coors Brewing Company,private
"Molycorp, Inc.",private
Monaco,no
Monaco Aide et Presence,private
Monaco Red Cross,no
MoneyGram InterNational,private
Mongolia,no
Mongolia Red Cross,no
Mongolian Red Cross,no
Monitoring Evaluation And Training Agency,no
Monsanto Co.,private
Montenegro,no
Monterey Institute of InterNational Studies,no
MONUC,no
Moody's,private
Moravian Church,private
Morgan Stanley,private
Morija,no
Moroccan Red Crescent,no
Morocco,no
Morocco Red Crescent,no
Mosaic Company,private
Mother and Children Development Aid,no
Mothers of Chechnya,private
Motorola Foundation,private
Movement Centre of Jeju Citizen to Cooperation between South and North,no
"Movimiento por la Paz, el Desarme y la Libertad",no
"Movimiento Por La Paz, El Desarme Y La Libertad, (E)",no
MOVIMONDO,no
Movitel,private
Mozambique,no
Mozambique Red Cross,no
Mozambique Red Cross Society,no
"MPDL - Movimiento por la Paz, el Desarme y la Libertad",no
MPDL - PRTM,no
MRCA - Medical Refresher Course for Afghan,no
MRCA / AMI,no
MRRD/UNICEF,no
MRRD/UNOPS,no
MS Denmark,no
MSD-DK,private
MSI,no
MSZ,no
Mubadiroon Organisation,private
Mubarak for Relief and Development Organization,no
Muhammadiyah,private
Mulrany InterNational,private
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,no
Multi-Donor Trust Fund ,no
Multi-Donor Trust Fund for the Sudan,no
Multi-Donor Trust Fund for the Sudan ,no
Multi-Donor Trust Fund for the Sudan South,no
Multilateral Agencies,no
MultiNational Interim Force,no
Multiple Partners,no
Museke Foundation,private
Muslim Aid,no
Muslim Aid and GlobalMedic,no
Mvuramanzi Trust,no
Mwelekeo Trust,no
Myanmar,no
Myanmar Business Coalition on AIDS,no
Myanmar NGO Contingency Plan Steering Committee,no
Myanmar Red Cross,no
Myanmar Red Cross Society,no
"NABA""A",no
NAC,no
Nachbar in Not,no
NACSA - National Commission for Social Action - Sierra Leone  ,no
NaCSA/World Bank,no
Nærings- og Handelsdepartementet,no
Næringslivets Hovedorganisasjon,private
Nahda Makers Organization,no
Nahdlatul Ulamu,private
Najat Charitable Society,no
Namibia,no
Namibia CARES Movement,no
Namibia Red Cross,no
Namibian Red Cross,no
Nasjonalt Folkehelseinstitutt,no
Nathan Associates,private
Nathan Cummings Foundation,private
National Agency for the Prohibition of Traffic in Persons - Nigeria,no
National Agricultural Cooperative Federation,no
National Anti War Front,no
National Bank of Canada,private
National Basketball Association,private
National Center for the Prevention of HIV/AIDS,no
National Coalition of NGOs for Inter-Korea Agricultural Development and Cooperation,no
"National COMMISSION FOR DEMINING AND REHABILITATION, JORDAN",no
National Commission for Human Development,private
National Commission for Lebanese Women,no
National Committee for Demining and Rehabilitation,no
National Committee for Disaster Management,no
National Council of Churches in Australia,private
National Council of Churches of Kenya,private
National Council of Saemaul Undong Movement,no
National Democratic Institute,no
National Democratic Institute for InterNational Affairs/InterNational Republican Institute,no
National Development Organization,no
National Disaster Response Coordinating Council,no
National Emergency Commission of Costa Rica,no
"National Fishery Society, Peru",private
National Football League,private
National Foundation for Development and Human Rights,private
National Grid,private
National Institution of Social Care & Vocational Training,no
National Integrated & DevelopmeDewant Association (NIDA-Pakistan),no
National Integrated Development Agency,no
National Office for Electoral Process,no
National Peace Corps Association,no
National Primary Health Care Development Agency,no
National Radio Appeal,no
National Relief Committee,private
National Rural Support Programme,no
National Society for Earthquake Technology,no
National Society for Rehabilitation,no
National Space Agency of Ukraine,no
Nationwide Insurance Foundation,private
NATO / PfP,no
Natur Environments & Wildlife Society and Calcutta Foundation,no
Natures Way,private
Naval Medical Research Unit,no
Nawayee Rehabilitation and Development Organization for Afghan Women,private
Near East Foundation,private
NEC Corporation,private
Nehemia Christenhilfsdienst e.V.,no
Neighborhood Disaster Volunteers,no
Neighbors Initiative Alliance,no
NEM Insurance Company,private
NEMA - National Emergency Management Agency,no
Nepal,no
Nepal Red Cross Society,no
NEPCom,private
Nestle,private
Nestle USA,private
Netherlands,no
Netherlands Embassy in Namibia,no
Netherlands Red Cross,no
Netherlands Refugee Foundation,private
"NetSol Technologies, Inc",private
Network on Humanitarian Assistance,no
NETZ,no
New Consultancy and Relief Organization,no
New Iraqi Woman Organization,no
New Ireland PDC,no
New South Wales Relief Fund,no
New York Life Insurance Company,private
New York Yankees,private
New Zealand,no
New Zealand Red Cross,no
Newman Foundation,private
News Corp.,private
Next Step AS,no
Next Step Productions,no
Nextel Peru,private
Ngazi Moja Foundation,private
NGO Consortium,no
NGO Coordination Committee in Iraq,no
NGO FORUM,no
NGO Fridsro,no
NGO Mondo,no
NGO Ninez y Vida,no
NGO Safety Program,no
NGO Security Programme,no
NGOs (details not yet provided),no
NGOs; Red Cross (details not yet provided) ,no
NGOs; Red Cross/Red Crescent (details not yet provided),no
Nicaragua,no
Nicaragua Red Cross,no
Nicaraguan Forestry Institute,no
Nicaraguan Red Cross,no
Niger,no
Niger Red Cross,no
Nigeria,no
Nigeria Red Cross,no
Nigerian Red Cross Society,no
NIISO,no
Nike,private
Nikon,private
Nile Hope,no
Nile Hope Development Forum,private
Nile Mission,no
Nile People's Peace Conference,no
Niños de la Tierra,private
Ninôs del Cusco,no
Nintendo,private
Nippon Foundation,private
Nippon InterNational Cooperation for Community Development,no
NIRAS,private
NiSource Charitable Foundation,private
Nissan Corporation,private
NMIAD,no
No channel specified,no
Nobels Fredssenter,no
Nokia,private
Nomadic Assistance for Peace and Development,no
Nomads Development and Environmental Conservation,no
NOMECO,private
Nomura Group,private
Non Violent Peace Force ,no
Non Violent Peace Force Sri Lanka ,no
Non-Aligned Movement Institute for the Empowerment of Women,no
Nonviolence InterNational,no
Nonviolent Peaceforce,no
Noor Al Hussein Foundation,private
NOOR Dubai,private
Nordic Demining Research Forum,no
Nordic Institute of Asian Studies,no
Nordic InterNational Rescue Foundation,private
Norfund,no
Norges Fredslag,no
Norges Geotekniske Institutt,no
Norges Juristforbund,no
Normeca AS,private
Norsk forbund f. utv.hemmede,no
Norsk Fredssenter,private
Norsk Luthersk Misjonssamband,no
Norsk PEN,private
Norsk Ressursbank for demokrati og menneskerettigheter,no
Norsk senter for menneskerettigheter,no
Norsk tamilsk helse organisasjon,no
Norsk Vietnamesisk Senter,no
Norske Menneskerettighetsfond,no
Norske PEN,private
Norske Pinsemenigheters Ytremisjon,no
Norske Redningshunder,no
North Atlantic Treaty Organization,no
Northeast Asia Forest Forum,no
Northern Aid,no
Northern Trust Corporation,private
Northfield Bank Foundation,private
Northland Foundation,private
Northrop Grumman Corp,private
North-South Institute,no
Northwest Medical Teams InterNational,no
Northwest Woolen Mills,private
Northwestern Mutual Corp.,private
NORWAC - Norwegian Aid Committee,no
Norway,no
Norway Red Cross,no
Norway Royal Ministry of Foreign Affairs,no
Norwegian Afghanistan Committee,no
Norwegian Aid Committee,private
Norwegian Church Aid,no
Norwegian Mission Association,no
Norwegian Pentecostal Movement,private
Norwegian People's Aid,no
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,no
Norwegian Red Cross,no
Norwegian Refugee Council,no
Norwegian Search and Rescue,no
Norwegian Tamils Health Organisation,private
Not on our Watch,no
Novartis,private
Novellus Systems,private
NOVIB,no
Novo Nordisk,private
NTNU,no
NU,no
"Nuba Mountain Relief, Rehabilitation and Development Organization",no
Nuba Mountains International Association for Development,no
Nuer Peace Council,no
Nukepills,private
NUPI - Norsk utenr.pol. inst. ,no
Nurani Dunia,private
NYSE Euronext,private
OAP,no
Objectif Tiers Monde,no
Observatorio San Calixo,private
OCAPROCE,no
Occidental Petroleum,private
OCHA / IRIN,no
OCHA / ISDR,no
OCHA / REACT,no
OCHA NGO Funds,no
OCHA/UNDP,no
OCHA/UNDP/ ISDR,no
OCHA/UNEP,no
Ockenden InterNational,no
Oeuvre d'Orient,no
Oeuvres hospitalières françaises de l'Ordre de Malte,no
Office Depot,private
Office for Drug Control and Crime Prevention,no
Office for Intellectual Freedom ,no
Office for the Coordination of Humanitarian Affairs,no
Office of Preparedness for Disasters and Emergencies,no
Office of the High Commissioner for Human Rights,no
Office of the Humanitarian Coordinator,no
Office of the Representative of Denmark to Afghanistan,no
Office of the Representative of the Dalai Lama,no
Office of the Resident and Humanitarian Coordinator,no
Office of the United Nations Special Coordinator for the Middle East Peace Process,no
Official Development Assistance,no
Oficina Panamericana de la Salud ,no
Òganizasyon Fanm tou Nèf Balan,no
OIC Aid Committee for the Child Victims of Tsunami,no
OIKOS - Intercooperação e Desenvolvimento ,no
Oil for Food Programme,no
OIP - Office of the Iraq Programme,no
OJAZ Foundation,no
Okedongmu Children in Korea,no
Oklahoma City Community Foundation,private
öKO HIMAL,no
Olympic Aid,no
Oman,no
Oman Charitable Organisation,no
Omega Plus,private
Omidyar Fund,private
One Buddhism,no
One Korea Buddhist Movement,no
One Shekel Campaign in WB,no
"One UN Fund, EFW",no
OneBeacon Charitable Trust,no
ONG Actions,no
ONGD - FNEL,private
"Onnuri Church, Rep. of Korea",no
ONUA - HRD,no
öö Volkshilfe,no
OPEC Fund for InterNational Development,no
Open Continent,no
Open Doors,private
Open Society Foundation,private
Open Society Institute,private
Open Society Institute Assistance Foundation,private
Operation Blessing InterNational,no
Operation Helping Hand of Tampa,private
"Operation Helping Hands, American Samoa",no
Operation Lifeline Sudan,no
Operation Mercy,no
Operation Save Innocent Lives,no
Operation USA,no
Opération villages roumains,private
Operations Team,no
Opportunities Industrialisation Centres InterNational,no
ORA e. V. Deutsher Hilfsfonds,no
ORA InterNational Lobito,no
Order of Malta,no
Oregon Community Foundation,private
Organisation de la conférence islamique ,private
Organisation for Economic Co-operation and Development,no
Organisation for Mine Awareness and Reconstruction,no
Organisation for Mine Clearance and Afghan Rehabilitation / Mine Detection Dog Centre,no
Organisation InterNationale de la Francophonie,no
Organisation Marocaine Des Droits de l'homme,no
Organisation of Islamic Cooperation,private
Organisation of Rural Associations for Progress,private
Organisation of the Islamic Conference,no
Organization Catholique Pour la Promotion Humaine,no
Organization for African Unity,no
Organization for Security & Cooperation in Europe,no
Organization for Social Development Initiatives,no
Organization of American States,no
Organization of Arab Red Crescent and Red Cross Society,no
Organization of Petroleum Exporting Countries Fund,no
Orphans and Divorced Rights Association,no
Orthodox Church in America,private
OshKosh Corp.,private
Oslo Coalition on Freedom of Religion or Belief,private
Oslosenteret for fred og menneskerettigheter,no
österreichisches Nord-Süd-Institut,no
Other income,no
Ottawa Convention Sponsorship Programme,no
Ottawa Convention Sponsorship Programme ,no
Overseas Development Institute,no
OXFAM,no
Oxfam America,no
OXFAM Australia,no
OXFAM Belgium,no
OXFAM Canada,no
OXFAM GB,no
OXFAM Hong Kong,no
Oxfam India,no
OXFAM InterNational,no
OXFAM Ireland,no
Oxfam Italia,no
OXFAM Netherlands (NOVIB),no
OXFAM Quebec,no
OXFAM Solidarite,no
OXFAM/Community Aid Abroad (OXFAM-Australia),no
Oxford Research Group,no
Oxford University,no
PA_05,no
PACCAR Inc.,private
Pacific Islands Forum,no
Packard Foundation,private
Pact Inc.,private
PACT Myanmar,no
PACTEC,no
"PADCO, WWCIS, ASI",no
PAICMA,no
PAIMAN Alumni Trust,no
Pain Pour Les Déshérités (PPLD),no
Pak Rural Development Program,private
Pakistan,no
Pakistan Association  in Dubai,private
Pakistan Humanitarian Forum (consortium),no
Pakistan Red Crescent,no
Pakistan Red Crescent Society,no
Pakistan Telecommunication Company LTD.,private
Pakistan Village Development Program,no
Pakistansk Velferdsorganisasjon Norge,no
Palau,no
Palau Red Cross,no
Palau Red Cross Society,no
Palestinakomiteen i Norge,no
Palestine Red Crescent Society,no
Palestine Right to Return Coalition,no
Palestine Solidarity Organisation in Sweden,no
Palestinian Agricultural Relief Committees,no
Palestinian Al Nakheel Association for Progress and Development,no
Palestinian Association for Development and Reconstruction,no
Palestinian Authority,no
Palestinian Center of Organic Agriculture,no
Palestinian Environmental Friends,no
Palestinian Farmers Union,no
Palestinian Human Rights Monitoring Group,no
Palestinian Hydrological Group,no
Palestinian Medical Relief Society,no
Palestinian Peace Coalition,private
Palestinian Peace Coalition ,no
Palestinian Red Crescent Society,no
"Palestinian territory, occupied",no
Pan American Development Foundation,private
Pan American Health and Education Foundation,private
Panalpina Airfreight Incorporated,private
Panama,no
Panamanian Red Cross,no
Pan-American Health Organization (World Health Organization),no
Panasonic,private
Panhealth Care Organization,no
Panzi Hospital,no
PAP,no
Papua New Guinea,no
Papua New Guinea Red Cross,no
Papua New Guinea Red Cross Society,no
"Paradigm of Consciousness Ministries, Inc. ",no
Paraguay,no
Paraguay Red Cross,no
Paraguayan Red Cross,no
PARCIC,no
PARD,no
Parliamentarians for Global Action,no
Parliamentary Forum,no
Paroecia Latina S.Catharinae,no
Parroquia Jesus Redentor,private
Partage,no
Parthenon Trust,no
Participatory Educational Awareness and Community Empowerment,no
Participatory Integrated Development Society,no
Participatory Rural Development Society,no
Partner Aid InterNational,no
Partner Aid International e.V.,no
PARTNERS,no
Partners in Health,no
Partners in Rural Development,no
Partnership Africa Canada,no
Partnership Center for Development and Democracy,no
Partnership for Pastoralists Development Association,private
Partnership for Peace,no
Pastoral Social,private
Pastoralist Concern Association Ethiopia,no
Pastoralist Consultants InterNational,private
Pastoralist Development Organization,private
Pastoralist Integrated Support Programme,no
Pathfinder InterNational,no
Patient Friendly Society,no
Patient's Help Fund,no
Pattan Development Organization,no
Patton Boggs LLP ,private
Paul Hastings,private
Pax Christi e.V,no
PCPM - Polish Center for InterNational Aid,no
PCPM - Polish Center for InterNational Aid ,no
Peace Action Society Organisation for Somalia,no
Peace and Conflict Institution,no
Peace and Development Organization,no
Peace Brigades InterNational,no
Peace Building Fund,no
Peace Corps,no
Peace Corps Organization,private
Peace Keeping Funds,no
Peace Winds,no
Peace Winds Japan,no
Peacekeeping Forces,no
PEGASE,no
Pelayanan Advokasi untuk Keadilan dan Perdamaian Indonesia,no
Pema Medical Charity,private
PEN InterNational,private
Pentair,private
Pentecostal Churches of Uganda,private
Pentecostal Foreign Mission,no
People in Aid,no
People in Need ,no
People in Peril,no
Peoples Democracy Platform,private
Peoples Empowerment and Consulting Enterprise,no
Peoples' Organization for Development and Rehabilitation,no
PepsiCo Foundation,private
Père Jaar,no
Periodic Review  - TCG ,private
Perkumpulan Paluma Nusantara,no
Perry Ellis InterNational,private
Perspectives pour la Santé et le Développement,no
Peru,no
Peru Rail,private
Peru Red Cross,no
Peruvian Private Enterprise Colchones Paraiso,private
Peruvian Red Cross,no
Petits Frères et Soeurs,private
Petroleos de Venezuela,private
Pew Charitable Trusts ,no
Pfizer,private
Pharmaciens et Aide humanitaire,private
Pharmaciens Sans Frontieres - Comite InterNational,no
Pharmaciens sans Frontières (France),no
Pharmaciens sans frontières (PSF),no
Philadelphia Insurance Companies,private
Philani Maswati Organization,private
Philippine Business for Social Progress,private
Philippine Red Cross ,no
Philippines,no
Philippines National Red Cross ,no
PHRO - Palestinian Human Rights Organisation ,no
Physicians Across Continents,no
Physicians for Human Rights,no
PIAL,no
PIDAD,no
Pietrantoni Mendez & Alvarez LLP,private
PIPA,no
Pirelli & C. Societa per Azioni,private
Plan Benin,no
Plan Canada,no
Plan Haiti,no
Plan Indonesia ,no
Plan InterNational,no
Plan Ireland,no
Plan Mali,no
Plan Niger,no
Plan Norge,no
Plan Sudan,no
Plan Sweden,no
Plan Timor-Leste,no
Plan UK,no
Plan USA,no
PLANAT,no
Planeta,no
Planete Urgence,no
"Planned Parenthood Federation, InterNational",private
Planning and Development Collaborative InterNational,private
"Plateforme d""insertion par l""humanitaire",no
PLO DoRA,no
PMU-Interlife,no
Point of Peace,private
PokerStars,private
Poland,no
Poland Red Cross,no
Polish Center for International Aid,no
Polish Humanitarian Action,no
Polish Humanitarian Organisation,no
Polish Red Cross,no
Politidirektoratet,no
Pompiers sans frontières,no
"Population Leadership Program, the University of Washington",no
Population Services InterNational,no
Portugal,no
Portugal Red Cross,no
Portuguese Institute for Cooperation,no
Portuguese Red Cross,no
Posko Atambua,no
PotashCorp,private
Potsdam Kommunikation,no
Pour une Syrie libre,no
Practical Action ( formerly Intermediate Technology Development Group),no
Practical Action (formerly Intermediate Technology Development Group),no
PRADET,no
Praktisk Solidarites,no
PRB,private
Prefecto of the Department of La Paz,no
Prem Rawat Foundation,private
Premiere Urgence,no
Première Urgence - Aide Médicale InterNationale,no
PREPARED,no
Presbyterian Church in Ireland,no
Presbyterian Church of Korea,private
Presbyterian Disaster Assistance,private
Press Emblem Campaign,private
Press Trust / IDI,no
PriceWaterhouseCoopers,private
PRIMA SYNERGIE,no
Primate's World Relief and Development Fund,no
Prime Minister's National Relief Fund/India,no
Princess Cruises,private
"Principal Financial Group Foundation, Inc",private
"PRIO - InterNational Peace Research Institute, Oslo",no
Private (individuals & organisations),private
Private Agencies Collaborating Together,no
Private Agencies Collaborating Together ,no
Private Voluntary Organizations,no
"Pro Pac, Inc.",private
Procter & Gamble Inc.,private
Progedes-Nicaragua,no
Programme Against Malnutrition,no
Programme de Promotion de Soins de Santé Primaires (PPSSP),no
Programme d'Intégration et de Développement du Peuple pygmée au Kiwu ,no
Programme for Emergency Education and Reconstruction ,no
Progressio,no
Progressive Interventions,no
Project Aparajita - VHAI,no
Project Concern InterNational,no
Project HOPE,no
PROMAN,private
PROMARK,private
Promoting Recovery in Zimbabwe,no
Protos,no
Protracted Relief Programme Partners (Zimbabwe),no
Provea - Venezolano de Educación-Acción en Derechos Humanos,no
ProVention,private
Proximity Designs (formerly International Development Enterprises),private
"Prudential Financial, Inc.",private
PSF-France/Clermont-Ferrand,no
PSO,no
PSR / IPPNW,private
Psykisk Helsevern Østfold HF v/ Norum,no
PTM - Paz y Tercer Mundo,no
PTT Public Company Limited,private
Public Accounts Committee,private
Public Affairs Committee,private
Public Welfare Foundation,private
Publix,private
Puerto Rico,no
PUMP AID,no
PUNTO SUD,no
Purpose Foundation,private
Pyoe Pin,no
Qandil,no
Qatar,no
Qatar Charitable Society,no
Qatar Charity,no
Qatar Red Crescent,no
Qatar Red Crescent Society,no
"QED Limited, LLC",private
Quaker United Nations Office,no
Qualcomm Inc.,private
Questscope,no
"QVC, Inc.",private
Qwest Foundation ,private
"Raad, Liv",no
Rabbis for Human Rights,private
Radanar Ayar Association,no
Radio SAWA,private
Radisson SAS,private
Raf-Thani Foundation,private
"Raftostiftelsen, prosjekt",no
Raggio di Luce ,no
Rahma Islamic Relief Fund,no
Rahmo Rehabilitation Organisation,no
Rainbow Gateway,no
Rainwater Association of Somalia,no
RAK Ceramics,private
Random House,private
Rape Crisis Centre,no
Raqeep Organization for Human Rights,no
Rasawad Welfare Association,private
Rawa Association,no
Raygroup SAS,private
Raytheon,private
RBC,private
RCN Justice Democratie,no
RCO,no
RCT,no
RDN,private
REA - Réhabilitation  Education Aide social,no
Reach Out,no
Reach Out Initiative,no
Reach Out To Asia,no
Rebatisseurs de la muraille des oeuvres de Dieu,no
RECSASEC - Regional Centre on Small Arms and Light Weapons,private
Red Crescent Society of Azerbaijan,no
Red Crescent Society of Djibouti,no
Red Crescent Society of Kyrgyzstan,no
Red Crescent Society of Tajikistan,no
Red Crescent Society of the Islamic Republic of Iran,no
Red Crescent Society of the United Arab Emirates,no
Red Crescent Society of Uzbekistan,no
Red Cross,no
Red Cross of Cape Verde,no
Red Cross of Chad,no
Red Cross of Monaco,no
Red Cross of Montenegro,no
Red Cross of Serbia,no
Red Cross of Serbia,no
Red Cross of the Democratic Republic of the Congo,no
"Red Cross of The Former Yugoslav Republic of Macedonia, The",no
"Red Cross of The Former Yugoslav Republic of Macedonia, The",no
Red Cross of Viet Nam,no
Red Cross Society of Bosnia and Herzegovina,no
Red Cross Society of China,no
Red Cross Society of Georgia,no
Red Cross Society of Niger,no
Red Cross Society of Panama,no
Red Cross Society of the Democratic People's Republic of Korea,no
Red Cross Society of the Republic of Moldova,no
Red R,no
REDOG,no
RedR,no
RedR UK,no
Refugee Education Trust,no
Refugee Studies Centre,no
Refugee Trust,no
Refugees InterNational,no
Regence Foundation,private
Regional Centre Small Arms Light Weapons,private
Regional Govt of Lambayeque (Peru),no
Regnskogfondet,private
Rehabilitation and Research Centre for Torture Victims,no
Rehabilitation InterNational,no
Relationships Foundation InterNational,private
Relief and Recovery Unit - Zimbabwe,no
Relief InterNational,no
Religiosas de Jesus-Maria,private
Religiosas Franciscanas Mision,private
Religiosas Hermanas Terciarias,private
Remedial English and Science Course Centre,no
Reporters Sans Frontières,no
Reprise de Justesse,no
Republic of Korea National Red Cross,no
Republic of South Sudan,no
Rescue South Africa,no
Research Council of Norway,no
Reseau des Entrepreneurs Solidaires,no
Resident Coordinators Support Office,no
Response InterNational,no
Responsive,no
REST - Relief Society of Tigray,no
RESTART,private
Results Japan,no
Reunion,no
Reynolds American Foundation,private
RHA,private
Richard and Susan Smith Family Foundation,private
Right to Live Society,no
Right to Play,no
Ripley,private
Risk and Insurance Management Society,private
Rissho Koseikai,private
Rite Aid,private
Riverine Relief Program,private
Riverside Technologies Inc.,private
RKV - Flemish Red Cross,no
RMS Foundation,private
Rockefeller Foundation,private
Rockwell Collins,private
Roddick Foundation,private
ROFI Industrier AS,private
Rogers Communications,private
ROKPA,no
ROLEX,private
Romania,no
Romania Red Cross,no
Romanian Red Cross,no
Ronald McDonald House Charities,no
RONCO Consulting Corporation,private
Root of Grass,no
ROPKA InterNational,no
Rosalia Hoog,no
Roshni Development Organization,no
"Ross Stores, Inc.",private
ROSSAIR,private
Rotary Club of Shanghai,no
Rotary Fiji,private
Rotary InterNational,no
Rothschild Estates,private
Roy A. Hunt Foundation,private
Royal Bank of Canada,private
Royal Caribbean InterNational,private
Royal Danish Embassy - Jakarta,no
Royal Danish Representative Office in Colombo,no
Royal Health Awareness Society,no
RTI,no
Ruedi Leuppi Stiftung Elfenbeinküste,private
Rufaid Health Foundation,private
Rufaida Health Foundation,private
Rumänienhilfe Liebenau,no
Rumänienhilfe Schärding,no
Rural Agency for Community Development and Assistance,no
Rural Capacities Development Committee,no
Rural Centre for Sustainable Development,no
Rural Development Foundation,private
Rural Development Initiative,private
Rural Development Project,private
Rural Empowerment and Institutional Development,no
Rural Focus,no
Rural Reconstruction Nepal,no
Rural Support Programmes Network,no
Rural Water and Sanitation Support Agency,no
Russia Red Cross,no
Russian Federation,no
Russian Red Cross Society,no
Rwanda,no
Rwanda Red Cross ,no
Rwandan Red Cross ,no
RWSSP,private
SAACID,no
Sabou Guinee,no
Sad Africa,no
Sada Al Irak Organisation,no
SADRI,no
SAF - Science and Arts Foundation,private
Safa Marwa Relief and Development Organization,no
SaferAfrica,no
Saferworld,no
Safeway Inc,private
SAFRA Edmond J. Philanthropic Foundation,private
Saga Falabella,private
Sage Organisation,no
Sagric InteNational Pty Ltd,private
SAH - Schweizerisches Arbeiterhilfswerk,no
Sahkar Dost Welfare Association,no
SAIH - Studentenes og Akademikernes Internasjonale Hjelpefond,private
Saint Barbara Foundation,private
Saint Lucia,no
Saint Vincent and the Grenadines,no
SALAM YA SUGHAR FUND,no
Salama Medical Agency,private
Salesian Missions,private
Salvadorean Red Cross Society,no
Salvation Army,no
SAM - Schweizer Allianz Mission,no
SAM - Schweizer Allianz Mission ,no
Sama Al-Yemen Development Foundation,no
Samaritan's Purse,no
Samenwerkende Hulporganisaties,private
Samerådet,no
Sametinget,no
Samir Kassir Foundation,private
Samis,no
Samisk Høgskole,no
Samoa,no
Samoa Red Cross,no
Samoa Red Cross Society,no
Samsung Group,private
Samusocial Peru,no
San Diego Foundation,private
San Marino,no
San Remo Institute for Humanitarian Law,no
SANAD Charity Foundation,no
SANAR YURDATAPAN  - FEA,no
Sangtani Women Rural Development Organization,no
Sanitary of Epidemiological Station,no
SANOFI,private
Santa Isabel Market,private
Santé Diabète,no
Santé Mali Rhône Alpes,no
Santé pour le Développement et la Stabilité d’Haïti,no
Sante Sud,no
Sant''Egidio,no
Sarhad Rural Support Programme,no
Sarvodaya Shramadana Movement,no
Sath Development Organization,no
Satunama,no
Saude em Portugues,no
Saúde em Português,no
Saudi Arabia (Kingdom of),no
Saudi Arabian Red Crescent Society,no
Saudi Committee,no
Saudi Public Campaign for Lebanon and Palestine,no
Saudi Red Crescent ,no
Save and Serve,no
Save Somali Women & Children,no
Save the Children ,no
Save the Children - Canada,no
Save the Children - Denmark,no
Save the Children - France,no
Save the Children - Japan,no
Save the Children - Netherlands,no
Save the Children - Norway,no
Save the Children - Sri Lanka,no
Save the Children - Sweden,no
Save the Children - Uganda,no
Save the Children - United Kingdom,no
Save the Children - USA,no
Save the Children Alliance,no
Save the Children Federaton Inc.,no
"Save the Children, Youths and Women Organization",no
Sawaid Health Organization,no
SC - Caritas,no
SC/US and World Vision,no
SCA Tissue,private
Scanagri,private
Scandinavian Children's Mission ,no
SCD-RB,no
Schering-Plough Corporation,private
Schools Association for Formal Education,no
Schulte Roth & Zabel LLP,private
SCO,no
SCOR Group,private
Scotiabank,private
Scottish Catholic InterNational Aid Fund,no
Scottish Executive,no
Scottrade,private
SDW,no
Search for Common Ground,no
Seattle Foundation,private
Second Harvest Japan,private
SECONRED,no
Secours Catholique et Développement,no
Secours Islamique,no
Secours Islamique France,no
Secours Populaire Francais,no
Sécurité civile,no
Sedec-Hudec,no
Seeds of Peace,no
Seestern e.V.,no
Seestern e.V.,no
"Seismic Research Unit, Univ. of West Indies",no
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region,no
Seismic Risk Assessment and Mitigation in the Antakya-Maras Region ,no
Self Employment Womens' Association,no
Sempra Energy Foundation,private
Senegal,no
Senter for Krisepsykologi,no
